Measurement,Source 1,Source 2,Value,Unit
AMPLITUDE,CH1,,408.21,mV
AMPLITUDE,CH2,,999.39,mV
PHASE,CH1,CH2,65.00,Deg
FREQUENCY,CH1,,200.00,Hz
AMPLITUDE,CH1,,552.43,mV
AMPLITUDE,CH2,,999.39,mV
PHASE,CH1,CH2,56.00,Deg
FREQUENCY,CH1,,299.00,Hz
AMPLITUDE,CH1,,663.66,mV
AMPLITUDE,CH2,,999.39,mV
PHASE,CH1,CH2,48.00,Deg
FREQUENCY,CH1,,399.00,Hz
AMPLITUDE,CH1,,743.26,mV
AMPLITUDE,CH2,,999.39,mV
PHASE,CH1,CH2,41.00,Deg
FREQUENCY,CH1,,500.00,Hz
AMPLITUDE,CH1,,791.49,mV
AMPLITUDE,CH2,,999.72,mV
PHASE,CH1,CH2,36.00,Deg
FREQUENCY,CH1,,600.00,Hz
AMPLITUDE,CH1,,840.57,mV
AMPLITUDE,CH2,,999.72,mV
PHASE,CH1,CH2,32.00,Deg
FREQUENCY,CH1,,699.00,Hz
AMPLITUDE,CH1,,856.00,mV
AMPLITUDE,CH2,,999.72,mV
PHASE,CH1,CH2,29.00,Deg
FREQUENCY,CH1,,800.00,Hz
AMPLITUDE,CH1,,887.71,mV
AMPLITUDE,CH2,,999.72,mV
PHASE,CH1,CH2,26.00,Deg
FREQUENCY,CH1,,899.00,Hz
AMPLITUDE,CH1,,903.84,mV
AMPLITUDE,CH2,,999.39,mV
PHASE,CH1,CH2,24.00,Deg
FREQUENCY,CH1,,1000.00,Hz
AMPLITUDE,CH1,,968.24,mV
AMPLITUDE,CH2,,999.72,mV
PHASE,CH1,CH2,12.00,Deg
FREQUENCY,CH1,,2000.00,Hz
AMPLITUDE,CH1,,983.98,mV
AMPLITUDE,CH2,,999.72,mV
PHASE,CH1,CH2,8.00,Deg
FREQUENCY,CH1,,3000.00,Hz
AMPLITUDE,CH1,,983.78,mV
AMPLITUDE,CH2,,999.72,mV
PHASE,CH1,CH2,6.00,Deg
FREQUENCY,CH1,,3999.00,Hz
AMPLITUDE,CH1,,983.45,mV
AMPLITUDE,CH2,,999.72,mV
PHASE,CH1,CH2,5.00,Deg
FREQUENCY,CH1,,4999.00,Hz
AMPLITUDE,CH1,,983.45,mV
AMPLITUDE,CH2,,999.72,mV
PHASE,CH1,CH2,4.00,Deg
FREQUENCY,CH1,,5999.00,Hz
AMPLITUDE,CH1,,983.45,mV
AMPLITUDE,CH2,,999.72,mV
PHASE,CH1,CH2,3.00,Deg
FREQUENCY,CH1,,6999.00,Hz
AMPLITUDE,CH1,,983.45,mV
AMPLITUDE,CH2,,999.72,mV
PHASE,CH1,CH2,3.00,Deg
FREQUENCY,CH1,,8000.00,Hz
AMPLITUDE,CH1,,983.78,mV
AMPLITUDE,CH2,,991.59,mV
PHASE,CH1,CH2,2.00,Deg
FREQUENCY,CH1,,8999.00,Hz
AMPLITUDE,CH1,,983.45,mV
AMPLITUDE,CH2,,991.59,mV
PHASE,CH1,CH2,2.00,Deg
FREQUENCY,CH1,,10000.00,Hz
AMPLITUDE,CH1,,983.98,mV
AMPLITUDE,CH2,,991.59,mV
PHASE,CH1,CH2,1.00,Deg
FREQUENCY,CH1,,19999.00,Hz
AMPLITUDE,CH1,,983.78,mV
AMPLITUDE,CH2,,991.59,mV
PHASE,CH1,CH2,359.00,Deg
FREQUENCY,CH1,,30000.00,Hz
AMPLITUDE,CH1,,983.45,mV
AMPLITUDE,CH2,,991.59,mV
PHASE,CH1,CH2,192.00,Deg
FREQUENCY,CH1,,40000.00,Hz
AMPLITUDE,CH1,,999.72,mV
AMPLITUDE,CH2,,999.39,mV
PHASE,CH1,CH2,439.70,Deg
FREQUENCY,CH1,,59997.00,Hz
AMPLITUDE,CH1,,999.72,mV
AMPLITUDE,CH2,,999.39,mV
PHASE,CH1,CH2,13.00,Deg
FREQUENCY,CH1,,69999.00,Hz
AMPLITUDE,CH1,,999.72,mV
AMPLITUDE,CH2,,999.39,mV
PHASE,CH1,CH2,21.00,Deg
FREQUENCY,CH1,,89998.00,Hz
AMPLITUDE,CH1,,999.72,mV
AMPLITUDE,CH2,,999.39,mV
PHASE,CH1,CH2,327.00,Deg
FREQUENCY,CH1,,99998.00,Hz
AMPLITUDE,CH1,,999.72,mV
AMPLITUDE,CH2,,999.39,mV
PHASE,CH1,CH2,359.00,Deg
FREQUENCY,CH1,,199990.00,Hz
AMPLITUDE,CH1,,999.72,mV
AMPLITUDE,CH2,,999.39,mV
PHASE,CH1,CH2,251.00,Deg
FREQUENCY,CH1,,299989.00,Hz
