Częstotliwość (Hz),Przesunięcie fazowe (°),Napięcie wejściowe (V),Napięcie wyjściowe (V),Transmitancja H(f)
200.0,65.0,0.40820999999999996,0.99939,2.4482251782170943
299.0,56.0,0.55243,0.99939,1.8090798834241444
399.0,48.0,0.6636599999999999,0.99939,1.5058765030286594
500.0,41.0,0.74326,0.99939,1.3446035034846486
600.0,36.0,0.79149,0.99972,1.2630860781563886
699.0,32.0,0.84057,0.99972,1.1893358078446767
800.0,29.0,0.856,0.99972,1.1678971962616824
899.0,26.0,0.88771,0.99972,1.126178594360771
1000.0,24.0,0.90384,0.99939,1.1057156133828996
2000.0,12.0,0.96824,0.99972,1.0325126001817733
3000.0,8.0,0.98398,0.99972,1.0159962600865873
3999.0,6.0,0.98378,0.99972,1.0162028095712456
4999.0,5.0,0.98345,0.99972,1.0165437998881488
5999.0,4.0,0.98345,0.99972,1.0165437998881488
6999.0,3.0,0.98345,0.99972,1.0165437998881488
8000.0,3.0,0.98345,0.99972,1.0165437998881488
8999.0,2.0,0.98378,0.9915900000000001,1.0079387667974549
10000.0,2.0,0.98345,0.9915900000000001,1.008276984086634
19999.0,1.0,0.98398,0.9915900000000001,1.0077338970304275
30000.0,359.0,0.98378,0.9915900000000001,1.0079387667974549
40000.0,192.0,0.98345,0.9915900000000001,1.008276984086634
59997.0,439.7,0.99972,0.99939,0.9996699075741207
69999.0,13.0,0.99972,0.99939,0.9996699075741207
89998.0,21.0,0.99972,0.99939,0.9996699075741207
99998.0,327.0,0.99972,0.99939,0.9996699075741207
199990.0,359.0,0.99972,0.99939,0.9996699075741207
299989.0,251.0,0.99972,0.99939,0.9996699075741207
